"day","expected_assignment_rate","real_assignment_rate","labeler_assignment_rate","labeler_global_offset","regression_a","regression_b","xml_records","csv_records","csv_assigned_records","attacks","average_relative_offset"
12,0.794561275742719,0.864409120312829,0.864409120312829,-18018,-5.4412557739936e-05,87465.3803357544,133193,137583,118928,2818,-1.2370678057312
13,0.398808832496153,0.807409069313203,0.807409069313203,-18012,-5.30069376475577e-05,85671.2793135862,275528,151544,122358,10139,-0.182513607610455
14,0.746510678025441,0.845054652415479,0.845054652415479,-18008,-5.32691729176236e-05,86006.0412918797,171380,165226,139625,1780,-0.258270367054611
15,0.791939100714013,0.638374939277174,0.638374939277174,-18002,-5.32509411332547e-05,85982.6128662983,571698,848116,541416,87562,0.407306027158415
16,0.879844063240168,0.890353258791318,0.890353258791318,-17998,-5.06695015441201e-05,82686.8315360476,522263,523016,465669,0,-0.328939654561502
17,0.731835158892843,0.878514232829003,0.878514232829003,-17994,-5.08523642354643e-05,82920.2263684495,397595,369533,324640,5026,-0.155162641695416
